name : ReVive!,phone : (512) 744-4841,website : wyndham.com/hotels/AUSWC/dini…,"cuisine_type : Burgers,Traditional American",number_of_reviews : 18,avg_review : 3.0,delivery : No,takeout : Yes,caters : Yes
name : Stinson’s Bistro University Park,phone : (512) 948-8383,website : stinsonsbistro.com,"cuisine_type : Coffee & Tea,American (New)",number_of_reviews : 4,avg_review : 4.5,delivery : No,takeout : Yes,caters : No
name : Wyndham Garden Hotel & Woodward Conference Center,phone : (888) 595-9874,website : Wyndham.com/Austin,cuisine_type : Hotels,number_of_reviews : 99,avg_review : 3.5,delivery : NA,takeout : NA,caters : NA
name : The Home Depot,phone : (512) 693-9811,website : homedepot.com,"cuisine_type : Hardware Stores,Nurseries & Gardening,Appliances",number_of_reviews : 51,avg_review : 3.0,delivery : NA,takeout : NA,caters : NA
name : Polaris on the Park,phone : (512) 444-7555,website : polarisonthepark.com,cuisine_type : Apartments,number_of_reviews : 10,avg_review : 4.0,delivery : NA,takeout : NA,caters : NA
name : Rewind,phone : NA,website : NA,"cuisine_type : Bars,Burgers",number_of_reviews : 2,avg_review : 3.0,delivery : No,takeout : Yes,caters : NA
name : JH Barber,phone : (512) 507-5673,website : NA,cuisine_type : Barber,number_of_reviews : 1,avg_review : 5.0,delivery : NA,takeout : NA,caters : NA
name : Furniture Marketing Group of Austin,phone : (512) 908-4600,website : fmgi.com,cuisine_type : Office Equipment,number_of_reviews : 1,avg_review : 5.0,delivery : NA,takeout : NA,caters : NA
name : Austin Federal Credit Union,phone : (512) 444-6419,website : austinfcu.com,cuisine_type : Banks & Credit Unions,number_of_reviews : 1,avg_review : 4.0,delivery : NA,takeout : NA,caters : NA
name : Country Kitchen,phone : (512) 448-2444,website : countrykitchenrestaurants.com,cuisine_type : American (New),number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : Happy Cooks,phone : (512) 326-6506,website : NA,cuisine_type : American (New),number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : Mission Grace Woods,phone : (512) 441-9926,website : missiongracewoodsapts.com,cuisine_type : Apartments,number_of_reviews : 17,avg_review : 2.0,delivery : NA,takeout : NA,caters : NA
name : Ross Elite Chauffeur Service,phone : (512) 580-6611,website : rosselite-hub.com,"cuisine_type : Airport Shuttles,Limos,Wine Tours",number_of_reviews : NA,avg_review : NA,delivery : NA,takeout : NA,caters : NA
name : Sorted By Lori Donley,phone : (512) 825-0275,website : sortedaustin.com,cuisine_type : Home Organization,number_of_reviews : 2,avg_review : 5.0,delivery : NA,takeout : NA,caters : NA
name : Jessie McConchie - State Farm Insurance Agent,phone : (512) 617-5103,website : eastsideatxinsurance.com,cuisine_type : Insurance,number_of_reviews : 2,avg_review : 5.0,delivery : NA,takeout : NA,caters : NA
